Date,Forecast_Price,Lower_CI,Upper_CI
2026-10-08,70.05093138732313,66.40601048311004,73.69585229153623
2026-10-09,70.05093138732313,66.38103907051436,73.7208237041319
2026-10-12,70.05093138732313,66.356236428876,73.74562634577026
2026-10-13,70.05093138732313,66.33159918180866,73.77026359283761
2026-10-14,70.05093138732313,66.30712406402515,73.79473871062112
2026-10-15,70.05093138732313,66.28280791628583,73.81905485836043
2026-10-16,70.05093138732313,66.25864768063863,73.84321509400763
2026-10-19,70.05093138732313,66.23464039593014,73.86722237871612
2026-10-20,70.05093138732313,66.21078319356943,73.89107958107684
2026-10-21,70.05093138732313,66.1870732935272,73.91478948111906
2026-10-22,70.05093138732313,66.1635080005546,73.93835477409166
2026-10-23,70.05093138732313,66.14008470060715,73.96177807403912
2026-10-26,70.05093138732313,66.11680085746016,73.9850619171861
2026-10-27,70.05093138732313,66.09365400950357,74.0082087651427
2026-10-28,70.05093138732313,66.07064176670443,74.03122100794184
2026-10-29,70.05093138732313,66.04776180772654,74.05410096691972
2026-10-30,70.05093138732313,66.02501187719751,74.07685089744875
2026-11-02,70.05093138732313,66.00238978311395,74.09947299153231
2026-11-03,70.05093138732313,65.97989339437648,74.12196938026979
2026-11-04,70.05093138732313,65.95752063844664,74.14434213619963
2026-11-05,70.05093138732313,65.93526949911849,74.16659327552777
2026-11-06,70.05093138732313,65.91313801439806,74.1887247602482
2026-11-09,70.05093138732313,65.89112427448421,74.21073850016205
2026-11-10,70.05093138732313,65.86922641984542,74.23263635480085
2026-11-11,70.05093138732313,65.84744263938644,74.25442013525982
2026-11-12,70.05093138732313,65.82577116870031,74.27609160594595
2026-11-13,70.05093138732313,65.80421028840041,74.29765248624585
2026-11-16,70.05093138732313,65.78275832252857,74.3191044521177
2026-11-17,70.05093138732313,65.7614136370346,74.34044913761167
2026-11-18,70.05093138732313,65.74017463832384,74.36168813632243
2026-11-19,70.05093138732313,65.71903977186858,74.38282300277768
2026-11-20,70.05093138732313,65.69800752088025,74.40385525376601
2026-11-23,70.05093138732313,65.67707640503913,74.42478636960713
2026-11-24,70.05093138732313,65.6562449792784,74.44561779536787
2026-11-25,70.05093138732313,65.63551183261991,74.46635094202635
2026-11-26,70.05093138732313,65.61487558705888,74.48698718758739
2026-11-27,70.05093138732313,65.59433489649511,74.50752787815115
2026-11-30,70.05093138732313,65.5738884457083,74.52797432893796
2026-12-01,70.05093138732313,65.55353494937532,74.54832782527095
2026-12-02,70.05093138732313,65.53327315112728,74.56858962351899
2026-12-03,70.05093138732313,65.51310182264457,74.58876095200169
2026-12-04,70.05093138732313,65.49301976278791,74.60884301185835
2026-12-07,70.05093138732313,65.47302579676364,74.62883697788263
2026-12-08,70.05093138732313,65.45311877532181,74.64874399932445
2026-12-09,70.05093138732313,65.4332975739853,74.66856520066096
2026-12-10,70.05093138732313,65.41356109230857,74.6883016823377
2026-12-11,70.05093138732313,65.3939082531648,74.70795452148147
2026-12-14,70.05093138732313,65.37433800205983,74.72752477258643
2026-12-15,70.05093138732313,65.354849306472,74.74701346817426
2026-12-16,70.05093138732313,65.33544115521644,74.76642161942982
2026-12-17,70.05093138732313,65.31611255783281,74.78575021681345
2026-12-18,70.05093138732313,65.29686254399549,74.80500023065078
2026-12-21,70.05093138732313,65.27769016294518,74.82417261170109
2026-12-22,70.05093138732313,65.25859448294092,74.84326829170534
2026-12-23,70.05093138732313,65.23957459073173,74.86228818391453
2026-12-24,70.05093138732313,65.22062959104697,74.88123318359929
2026-12-25,70.05093138732313,65.20175860610453,74.90010416854173
2026-12-28,70.05093138732313,65.18296077513638,74.91890199950988
2026-12-29,70.05093138732313,65.16423525393031,74.93762752071595
2026-12-30,70.05093138732313,65.14558121438758,74.95628156025869
2026-12-31,70.05093138732313,65.12699784409558,74.97486493055068
2027-01-01,70.05093138732313,65.108484345915,74.99337842873126
2027-01-04,70.05093138732313,65.09003993758081,75.01182283706545
2027-01-05,70.05093138732313,65.07166385131656,75.0301989233297
2027-01-06,70.05093138732313,65.05335533346147,75.0485074411848
2027-01-07,70.05093138732313,65.03511364410977,75.0667491305365
2027-01-08,70.05093138732313,65.01693805676175,75.08492471788452
2027-01-11,70.05093138732313,64.99882785798616,75.1030349166601
2027-01-12,70.05093138732313,64.98078234709348,75.12108042755278
2027-01-13,70.05093138732313,64.96280083581955,75.13906193882671
2027-01-14,70.05093138732313,64.94488264801926,75.156980126627
2027-01-15,70.05093138732313,64.92702711936991,75.17483565527635
2027-01-18,70.05093138732313,64.90923359708383,75.19262917756244
2027-01-19,70.05093138732313,64.89150143962985,75.21036133501642
2027-01-20,70.05093138732313,64.87383001646349,75.22803275818278
2027-01-21,70.05093138732313,64.85621870776527,75.245644066881
2027-01-22,70.05093138732313,64.83866690418705,75.26319587045921
2027-01-25,70.05093138732313,64.82117400660609,75.28068876804018
2027-01-26,70.05093138732313,64.80373942588633,75.29812334875993
2027-01-27,70.05093138732313,64.78636258264696,75.3155001919993
2027-01-28,70.05093138732313,64.7690429070377,75.33281986760856
2027-01-29,70.05093138732313,64.75177983852076,75.3500829361255
2027-02-01,70.05093138732313,64.73457282565923,75.36728994898704
2027-02-02,70.05093138732313,64.71742132591146,75.3844414487348
2027-02-03,70.05093138732313,64.70032480543149,75.40153796921477
2027-02-04,70.05093138732313,64.68328273887522,75.41858003577104
2027-02-05,70.05093138732313,64.66629460921199,75.43556816543428
2027-02-08,70.05093138732313,64.64935990754155,75.45250286710471
2027-02-09,70.05093138732313,64.63247813291628,75.46938464172999
2027-02-10,70.05093138732313,64.61564879216814,75.48621398247812
2027-02-11,70.05093138732313,64.5988713997407,75.50299137490556
2027-02-12,70.05093138732313,64.58214547752561,75.51971729712065
